form_type,filing_date,reporting_date,ticker,cik,url
10-Q,2022-04-26,2022-03-31,MSFT,0000789019,https://www.sec.gov/Archives/edgar/data/789019/000156459022015675/msft-10q_20220331.htm
10-Q,2017-08-04,2017-06-30,CNSL,0001304421,https://www.sec.gov/Archives/edgar/data/1304421/000155837017005955/cnsl-20170630x10q.htm
10-K,2017-03-10,2016-12-31,AMC,0001411579,https://www.sec.gov/Archives/edgar/data/1411579/000141157917000021/amc-20161231x10k.htm
10-Q,2017-05-03,2017-03-31,ABT,0000001800,https://www.sec.gov/Archives/edgar/data/1800/000110465917029430/a17-8899_110q.htm
10-K,2017-02-22,2016-12-31,ARCC,0001287750,https://www.sec.gov/Archives/edgar/data/1287750/000104746917000808/a2230898z10-k.htm
10-Q,2017-02-08,2016-12-31,MCHP,0000827054,https://www.sec.gov/Archives/edgar/data/827054/000082705417000018/a1231201610q.htm
10-Q,2016-05-09,2016-03-31,OCFC,0001004702,https://www.sec.gov/Archives/edgar/data/1004702/000119312516583947/d167739d10q.htm
10-Q,2016-11-04,2016-10-01,TMO,0000097745,https://www.sec.gov/Archives/edgar/data/97745/000009774516000072/tmoq3201610q.htm
10-k,2017-02-16,2016-12-31,ONB,0000707179,
10-K,2018-07-30,2016-12-31,HBAN,0000049196,
10-Q,2016-08-05,2016-06-30,PNFP,0001115055,https://www.sec.gov/Archives/edgar/data/1115055/000111505516000155/form10q.htm
10-Q,2016-11-09,2016-09-30,WLK,0001262823,https://www.sec.gov/Archives/edgar/data/1262823/000126282316000049/a2016093010q.htm
10-Q,2016-11-09,2016-09-30,D,0000715957,https://www.sec.gov/Archives/edgar/data/715957/000119312516763981/d289364d10q.htm
10-Q,2017-11-02,2017-09-30,ABT,0000001800,https://www.sec.gov/Archives/edgar/data/1800/000110465917065654/a17-20634_110q.htm
10-Q,2016-08-04,2016-06-25,FORM,0001039399,https://www.sec.gov/Archives/edgar/data/1039399/000103939916000065/form-20160625x10q.htm
